path,category,loc,size_kb,exports,last_commit,author,has_tests,has_todos
"client/src/components/mobile/MobileTabSelector.tsx",Component,334,10,"MobileTab, MobileTabSelector, useMobileTabs",2025-12-04,muski4real,no,no
"client/src/components/mobile/index.ts",Component,34,1,"MobileBottomSheet, useBottomSheet, MobileTabSelector, useMobileTabs, PullToRefresh, usePullToRefresh, InfiniteScroll, useInfiniteScroll, SwipeGestures, useSwipeGestures",2025-11-12,muski4real,no,no
"client/src/components/mobile/mobile-optimized-forms.tsx",Component,777,21,"MobileInput, MobilePasswordInput, MobileSearchInput, MobileSelect, MobileTextarea",2025-12-04,muski4real,no,no
"client/src/components/mobile/mobile-performance-optimizations.tsx",Component,488,13,"VirtualScroll, OptimizedImage, usePerformanceMonitoring, DebouncedInput, MemoizedList",2025-11-08,muski4real,no,no
"client/src/components/mobile/mobile-test-suite.tsx",Component,445,15,"MobileTestSuite",2025-12-04,muski4real,no,no
"client/src/components/navigation/ProgressiveDisclosureDemo.tsx",Component,48,1,"ProgressiveDisclosureDemo",2025-12-04,muski4real,no,no
"client/src/components/navigation/ProgressiveDisclosureSimple.tsx",Component,526,19,"SimpleProgressiveDisclosure",2025-12-04,muski4real,no,no
"client/src/components/navigation/hooks/index.ts",Component,5,0,"",2025-10-28,muski4real,no,no
"client/src/components/navigation/index.ts",Component,8,0,"useNav, useRouteAccess, useRelatedPages, NavLink, NavSection, DesktopSidebar, canViewItem, DEFAULT_NAVIGATION_MAP, SECTION_ORDER, SECTION_TITLES",2025-10-28,muski4real,no,no
"client/src/components/navigation/recovery.ts",Component,189,5,"RecoveryStrategy, NavigationRecoveryContext, NAVIGATION_RECOVERY_STRATEGIES, getRecoveryStrategies, getRecoverySuggestions",2025-11-03,muski4real,no,no
"client/src/components/navigation/types.ts",Component,31,1,"NavigationItem, RelatedPage",2025-10-28,muski4real,no,no
"client/src/components/navigation/ui/index.ts",Component,7,0,"",2025-10-28,muski4real,no,yes
"client/src/components/navigation/validation.ts",Component,137,5,"NavigationPathSchema, UserRoleSchema, NavigationItemSchema, RelatedPageSchema, UseRelatedPagesOptionsSchema",2025-12-04,muski4real,no,no
"client/src/components/notifications/NotificationCenter.tsx",Component,396,14,"NotificationCenter",2025-12-04,muski4real,no,no
"client/src/components/notifications/index.ts",Component,7,0,"NotificationCenter, NotificationItem, NotificationPreferences",2025-11-12,muski4real,no,no
"client/src/components/notifications/notification-preferences.tsx",Component,750,29,"NotificationPreferences",2025-12-04,muski4real,no,no
"client/src/components/offline/OfflineModal.tsx",Component,125,5,"OfflineModal",2025-12-04,muski4real,no,no
"client/src/components/performance/PerformanceDashboard.tsx",Component,379,13,"PerformanceDashboard",2025-12-04,muski4real,no,no
"client/src/components/performance/PerformanceMetricsCollector.tsx",Component,555,20,"PerformanceMetricsCollector",2025-12-04,muski4real,no,no
"client/src/components/performance/PerformanceOptimizationDashboard.tsx",Component,532,21,"PerformanceOptimizationDashboard",2025-12-04,muski4real,no,no
"client/src/components/privacy/CookieConsentBanner.tsx",Component,339,11,"CookieConsentBanner",2025-12-04,muski4real,no,no
"client/src/components/privacy/DataUsageReportDashboard.tsx",Component,729,29,"DataUsageReportDashboard",2025-12-04,muski4real,no,no
"client/src/components/privacy/GDPRComplianceManager.tsx",Component,762,28,"GDPRComplianceManager",2025-12-04,muski4real,no,no
"client/src/components/privacy/index.ts",Component,8,0,"CookieConsentBanner, DataUsageReportDashboard, default as GDPRComplianceManager",2025-11-20,muski4real,no,no
"client/src/components/privacy/privacy-dashboard.tsx",Component,583,23,"PrivacyDashboard",2025-12-04,muski4real,no,no
"client/src/components/privacy/privacy-policy.tsx",Component,316,13,"PrivacyPolicy",2025-12-04,muski4real,no,no
"client/src/components/realtime/RealTimeNotifications.tsx",Component,217,8,"RealTimeNotifications",2025-12-04,muski4real,no,no
"client/src/components/realtime/index.ts",Component,14,1,"default as RealTimeDashboard, RealTimeNotifications",2025-11-20,muski4real,no,no
"client/src/components/search/advanced-search.tsx",Component,352,12,"",2025-12-04,muski4real,no,no
"client/src/components/security/SecureForm.tsx",Component,288,9,"SecureForm",2025-12-04,muski4real,no,no
"client/src/components/security/SecurityDashboard.tsx",Component,440,17,"SecurityDashboard",2025-12-04,muski4real,no,no
"client/src/components/security/SecuritySettings.tsx",Component,591,21,"SecuritySettings",2025-12-04,muski4real,no,no
"client/src/components/settings/alert-preferences.tsx",Component,738,29,"AlertPreferences",2025-12-04,muski4real,no,no
"client/src/components/shared/auth/forms/SecurityLoginForm.tsx",Component,23,1,"SecurityLoginForm",2025-12-04,muski4real,no,no
"client/src/components/shared/auth/forms/StandardLoginForm.tsx",Component,23,1,"StandardLoginForm",2025-12-04,muski4real,no,no
"client/src/components/shared/auth/ui/AuthAlert.tsx",Component,123,4,"AuthAlertProps, AuthAlert, SuccessAlert, ErrorAlert, WarningAlert",2025-12-04,muski4real,no,no
"client/src/components/shared/auth/ui/AuthButton.tsx",Component,128,3,"AuthButtonProps, AuthButton, SubmitButton, ModeToggleButton, RetryButton",2025-12-04,muski4real,no,no
"client/src/components/shared/auth/ui/AuthInput.tsx",Component,157,4,"AuthInputProps, AuthInput, EmailInput, PasswordInput, ConfirmPasswordInput",2025-12-04,muski4real,no,no
"client/src/components/shared/dashboard/UserDashboard.tsx",Component,563,19,"UserDashboard",2025-12-04,muski4real,no,no
"client/src/components/shared/dashboard/sections/MigrationDashboard.tsx",Component,287,10,"MigrationDashboard",2025-12-04,muski4real,yes,no
"client/src/components/shared/dashboard/useMigrationDashboardData.ts",Component,218,7,"MigrationPhase, FeatureFlag, MigrationMetrics, MigrationDashboardData, useMigrationDashboardData",2025-12-02,muski4real,no,no
"client/src/components/shared/dashboard/variants/FullPageDashboard.tsx",Component,254,8,"FullPageDashboard",2025-12-04,muski4real,no,no
"client/src/components/shared/dashboard/variants/SectionDashboard.tsx",Component,230,9,"SectionDashboard",2025-12-04,muski4real,no,no
